gender,education,race,continent,agegroup,hours_per_week,work_class,fnlwgt,marital_status,occupation,capital_gain,capital_loss,native_country,income,age
Female,Doctorate,Black,Europe,Adults,60,State-gov,449182,Married-civ-spouse,Exec-managerial,2631,9589,Canada,<=50K,30
Female,Doctorate,Other,Asia,MiddleAged,51,Local-gov,465699,Never-married,Tech-support,2874,9588,Canada,<=50K,30
Female,Doctorate,Asian-Pac-Islander,Asia,Adults,33,Federal-gov,86876,Widowed,Sales,909,528,India,<=50K,33
Female,Doctorate,Asian-Pac-Islander,Europe,YoungAdults,30,Federal-gov,465267,Married-civ-spouse,Tech-support,3851,6415,Germany,<=50K,26
Female,Doctorate,Other,North America,Adults,35,State-gov,29293,Separated,Craft-repair,6322,8955,Mexico,<=50K,33
Female,Doctorate,Asian-Pac-Islander,Asia,MiddleAged,22,State-gov,268492,Separated,Tech-support,996,4370,Japan,<=50K,38
Female,Doctorate,White,North America,YoungAdults,33,State-gov,224910,Never-married,Craft-repair,4482,1439,Japan,<=50K,29
Female,Doctorate,Other,Central America,MiddleAged,31,State-gov,123654,Never-married,Other-service,9025,9508,Germany,<=50K,35
Female,Doctorate,White,Other,MiddleAged,39,Private,164186,Never-married,Exec-managerial,4487,9835,United-States,<=50K,30
Female,Doctorate,White,Central America,Senior,20,State-gov,457779,Never-married,Other-service,4907,7531,Canada,<=50K,27
Female,Doctorate,White,Other,Senior,42,Private,51983,Widowed,Other-service,2146,7292,Canada,<=50K,32
Female,Doctorate,White,Asia,Adults,53,Federal-gov,202839,Married-civ-spouse,Other-service,8822,7072,Germany,<=50K,33
Female,Doctorate,Black,Central America,Senior,53,Federal-gov,195477,Married-civ-spouse,Exec-managerial,4411,3520,Canada,<=50K,28
Female,Doctorate,Amer-Indian-Eskimo,North America,Senior,31,State-gov,396288,Never-married,Tech-support,6247,7276,India,<=50K,35
Female,Doctorate,Asian-Pac-Islander,Other,Adults,50,State-gov,476635,Never-married,Craft-repair,7042,5651,India,<=50K,34
Female,Doctorate,Black,Other,Senior,55,Self-emp-not-inc,365816,Widowed,Exec-managerial,529,9203,Germany,<=50K,28
Female,Doctorate,Black,Other,Senior,50,Local-gov,147210,Divorced,Sales,1737,908,Mexico,<=50K,34
Female,Doctorate,Black,Other,YoungAdults,26,Private,267302,Never-married,Craft-repair,6090,3760,Japan,<=50K,31
Female,Doctorate,Other,Asia,YoungAdults,22,State-gov,435425,Never-married,Other-service,7397,3337,India,<=50K,35
Female,Doctorate,Black,North America,Senior,28,Federal-gov,137025,Widowed,Exec-managerial,1607,195,India,<=50K,37
Female,Doctorate,Amer-Indian-Eskimo,Europe,Adults,27,State-gov,207586,Widowed,Craft-repair,1987,7222,Japan,<=50K,29
Female,Doctorate,Black,Europe,Senior,34,Self-emp-not-inc,47885,Separated,Exec-managerial,5502,4295,India,<=50K,34
Female,Doctorate,Black,Asia,YoungAdults,52,Self-emp-not-inc,449783,Divorced,Craft-repair,6319,9494,Canada,<=50K,37
Female,Doctorate,Black,Other,Senior,33,State-gov,322518,Divorced,Tech-support,3416,8384,Japan,<=50K,38
Female,Doctorate,Black,Asia,Senior,37,Private,255422,Widowed,Craft-repair,4812,6097,United-States,<=50K,33
Female,Doctorate,Amer-Indian-Eskimo,Europe,Adults,58,State-gov,228953,Never-married,Craft-repair,8588,3822,United-States,<=50K,32
Female,Doctorate,Other,South America,Senior,51,Local-gov,450873,Married-civ-spouse,Other-service,8669,736,Mexico,<=50K,38
Female,Doctorate,Amer-Indian-Eskimo,Asia,YoungAdults,20,State-gov,118441,Separated,Other-service,7688,7498,Canada,<=50K,28
Female,Doctorate,Black,Central America,MiddleAged,49,Local-gov,259900,Married-civ-spouse,Tech-support,9890,9953,Mexico,<=50K,38
Female,Doctorate,Asian-Pac-Islander,South America,MiddleAged,24,State-gov,109396,Divorced,Craft-repair,5415,1691,Japan,<=50K,36
Female,Doctorate,Amer-Indian-Eskimo,Central America,Senior,44,State-gov,456525,Divorced,Exec-managerial,111,9682,United-States,<=50K,34
Female,Doctorate,Other,Europe,YoungAdults,57,Self-emp-not-inc,417217,Widowed,Craft-repair,7849,3504,India,<=50K,30
Female,Doctorate,Other,Other,Adults,43,State-gov,59561,Widowed,Tech-support,9130,6806,United-States,<=50K,35
Female,Doctorate,Black,North America,Senior,28,Self-emp-not-inc,98375,Married-civ-spouse,Tech-support,1722,1758,Japan,<=50K,31
Female,Doctorate,Other,North America,MiddleAged,56,Local-gov,219735,Never-married,Craft-repair,359,5061,Japan,<=50K,37
Female,Doctorate,Amer-Indian-Eskimo,Asia,Adults,27,Local-gov,330733,Never-married,Other-service,6482,6942,Mexico,<=50K,31
Female,Doctorate,Other,North America,Adults,32,Federal-gov,159977,Divorced,Sales,4652,2338,Canada,<=50K,39
Female,Doctorate,Amer-Indian-Eskimo,Europe,Adults,25,Private,40843,Never-married,Exec-managerial,2737,8838,Germany,<=50K,39
Female,Doctorate,Other,Asia,MiddleAged,25,Private,192568,Married-civ-spouse,Tech-support,5059,1829,United-States,<=50K,36
Female,Doctorate,White,North America,MiddleAged,35,Federal-gov,140318,Separated,Sales,2378,1396,Canada,<=50K,30
Female,Doctorate,White,Other,YoungAdults,41,Private,250851,Separated,Other-service,68,8322,United-States,<=50K,35
Female,Doctorate,Asian-Pac-Islander,Asia,MiddleAged,36,State-gov,129955,Never-married,Craft-repair,2022,1780,Japan,<=50K,29
Female,Doctorate,Black,Central America,YoungAdults,57,Self-emp-not-inc,445286,Never-married,Other-service,8094,4976,Germany,<=50K,31
Female,Doctorate,White,Central America,Adults,27,State-gov,150005,Separated,Tech-support,7093,8160,United-States,<=50K,27
Female,Doctorate,Asian-Pac-Islander,Europe,YoungAdults,37,Federal-gov,36073,Divorced,Craft-repair,8334,6139,United-States,<=50K,33
Female,Doctorate,Other,Asia,MiddleAged,24,Self-emp-not-inc,248658,Widowed,Tech-support,1430,6313,India,<=50K,28
Female,Doctorate,Other,North America,Adults,45,State-gov,298131,Widowed,Tech-support,1702,3561,United-States,<=50K,36
Female,Doctorate,Amer-Indian-Eskimo,Asia,YoungAdults,47,Private,378373,Never-married,Sales,7992,3775,Japan,<=50K,29
Female,Doctorate,Asian-Pac-Islander,Central America,Adults,47,Federal-gov,286715,Separated,Other-service,5727,4268,Germany,<=50K,26
Female,Doctorate,Other,North America,Senior,50,Self-emp-not-inc,106875,Widowed,Sales,533,6631,Japan,<=50K,35
Female,Doctorate,White,Asia,YoungAdults,32,Self-emp-not-inc,348243,Separated,Craft-repair,8601,4628,Japan,<=50K,30
Female,Doctorate,Amer-Indian-Eskimo,North America,MiddleAged,48,Self-emp-not-inc,48186,Divorced,Other-service,8342,4992,Mexico,<=50K,37
Female,Doctorate,Asian-Pac-Islander,Central America,MiddleAged,21,State-gov,268544,Never-married,Other-service,8946,7788,Germany,<=50K,39
Female,Doctorate,Other,Europe,Senior,32,Private,209003,Never-married,Tech-support,2505,1213,United-States,<=50K,38
Female,Doctorate,Other,Europe,YoungAdults,44,State-gov,459262,Married-civ-spouse,Exec-managerial,6932,3795,Mexico,<=50K,28
Female,Doctorate,Amer-Indian-Eskimo,North America,Senior,23,State-gov,416030,Divorced,Craft-repair,1709,7438,Canada,<=50K,39
Female,Doctorate,White,Asia,MiddleAged,44,Federal-gov,64084,Widowed,Exec-managerial,5296,484,Mexico,<=50K,31
Female,Doctorate,White,South America,YoungAdults,22,State-gov,53102,Never-married,Craft-repair,5023,588,Germany,<=50K,30
Female,Doctorate,White,Central America,MiddleAged,30,Private,432057,Married-civ-spouse,Sales,2533,1665,United-States,<=50K,31
Female,Doctorate,White,North America,Senior,46,Self-emp-not-inc,243960,Divorced,Tech-support,6122,5065,Canada,<=50K,28
Female,Doctorate,Amer-Indian-Eskimo,South America,Adults,22,State-gov,243636,Widowed,Tech-support,3789,1845,Canada,<=50K,40
Female,Doctorate,Amer-Indian-Eskimo,Asia,MiddleAged,42,Private,44575,Widowed,Tech-support,6034,9152,Germany,<=50K,27
Female,Doctorate,Other,North America,Adults,49,State-gov,360106,Widowed,Craft-repair,3809,6975,Canada,<=50K,39
Female,Doctorate,Amer-Indian-Eskimo,Asia,Senior,39,State-gov,372737,Never-married,Craft-repair,4752,4303,Mexico,<=50K,33
Female,Doctorate,Amer-Indian-Eskimo,South America,Adults,39,State-gov,442210,Separated,Exec-managerial,5718,3521,United-States,<=50K,40
Female,Doctorate,Amer-Indian-Eskimo,Europe,MiddleAged,38,Private,102591,Widowed,Tech-support,465,3395,Mexico,<=50K,28
Female,Doctorate,Amer-Indian-Eskimo,Europe,Adults,24,Self-emp-not-inc,498352,Divorced,Sales,5744,5527,Japan,<=50K,40
Female,Doctorate,White,Central America,YoungAdults,20,Private,125312,Never-married,Exec-managerial,5993,9948,Mexico,<=50K,29
Female,Doctorate,Other,Central America,YoungAdults,57,Private,370997,Never-married,Tech-support,5168,6017,Germany,<=50K,40
Female,Doctorate,Amer-Indian-Eskimo,Europe,Adults,48,State-gov,210653,Divorced,Other-service,7292,6214,India,<=50K,39
Female,Doctorate,Black,Central America,YoungAdults,48,Self-emp-not-inc,131321,Married-civ-spouse,Craft-repair,9576,9221,Japan,<=50K,31
Female,Doctorate,White,Asia,Adults,29,Self-emp-not-inc,60167,Never-married,Exec-managerial,7490,9447,United-States,<=50K,38
Female,Doctorate,Amer-Indian-Eskimo,Europe,YoungAdults,31,Private,67781,Separated,Tech-support,4840,618,Mexico,<=50K,31
Female,Doctorate,Black,South America,Adults,58,Self-emp-not-inc,282620,Separated,Tech-support,8743,4416,Japan,<=50K,36
Female,Doctorate,White,North America,Adults,37,Self-emp-not-inc,244245,Married-civ-spouse,Craft-repair,4156,2656,Germany,<=50K,33
Female,Doctorate,White,Asia,YoungAdults,21,Local-gov,220275,Widowed,Sales,3263,2272,Germany,<=50K,39
Female,Doctorate,Amer-Indian-Eskimo,Europe,Senior,58,Local-gov,402140,Divorced,Craft-repair,7317,7476,Canada,<=50K,26
Female,Doctorate,Other,South America,Adults,38,Private,406150,Separated,Other-service,5504,324,United-States,<=50K,29
Female,Doctorate,White,Other,YoungAdults,51,Private,353596,Separated,Sales,187,9918,Germany,<=50K,29
Female,Doctorate,Amer-Indian-Eskimo,Europe,Senior,22,Federal-gov,445022,Separated,Craft-repair,3626,1246,Canada,<=50K,32
Female,Doctorate,Amer-Indian-Eskimo,South America,Senior,37,Local-gov,476330,Separated,Tech-support,9537,2057,Mexico,<=50K,40
Female,Doctorate,Asian-Pac-Islander,North America,MiddleAged,36,Federal-gov,128695,Married-civ-spouse,Exec-managerial,5061,3019,Japan,<=50K,26
Female,Doctorate,Asian-Pac-Islander,North America,YoungAdults,53,Federal-gov,236620,Separated,Craft-repair,5488,8765,Canada,<=50K,34
Female,Doctorate,White,North America,YoungAdults,56,Private,100860,Married-civ-spouse,Other-service,6844,4588,India,<=50K,30
Female,Doctorate,Black,Other,YoungAdults,52,Private,85804,Married-civ-spouse,Craft-repair,9763,3656,United-States,<=50K,32
Female,Doctorate,Black,South America,YoungAdults,33,Local-gov,349464,Widowed,Sales,3206,7626,Japan,<=50K,31
Female,Doctorate,Other,Asia,YoungAdults,53,Federal-gov,423044,Divorced,Tech-support,4553,1203,Canada,<=50K,31
Female,Doctorate,Other,Asia,MiddleAged,36,Local-gov,269032,Separated,Tech-support,9993,1914,Germany,<=50K,37
Female,Doctorate,Black,Europe,MiddleAged,51,State-gov,17686,Married-civ-spouse,Sales,68,9088,Germany,<=50K,38
Female,Doctorate,Asian-Pac-Islander,Other,YoungAdults,45,Federal-gov,69223,Divorced,Other-service,6614,1298,Mexico,<=50K,38
Female,Doctorate,Other,North America,Senior,43,Self-emp-not-inc,483482,Separated,Tech-support,3738,9856,United-States,<=50K,31
Female,Doctorate,Amer-Indian-Eskimo,Central America,Adults,37,Local-gov,360069,Never-married,Other-service,8727,308,Canada,<=50K,39
Female,Doctorate,White,South America,YoungAdults,56,State-gov,497938,Widowed,Tech-support,6810,5849,India,<=50K,39
Female,Doctorate,Amer-Indian-Eskimo,Europe,YoungAdults,20,Private,499191,Never-married,Craft-repair,6582,6654,Germany,<=50K,30
Female,Doctorate,White,Europe,MiddleAged,33,Federal-gov,56654,Separated,Other-service,5068,5175,Canada,<=50K,31
Female,Doctorate,Other,North America,YoungAdults,51,State-gov,493406,Widowed,Tech-support,6164,3902,Canada,<=50K,28
Female,Doctorate,White,Other,YoungAdults,25,Federal-gov,462427,Never-married,Sales,3976,4907,Japan,<=50K,29
Female,Doctorate,Asian-Pac-Islander,Other,Adults,47,Self-emp-not-inc,250084,Divorced,Other-service,3990,220,Canada,<=50K,31
Female,Doctorate,Black,Central America,Senior,35,Private,406379,Never-married,Craft-repair,7686,5767,Canada,<=50K,32
Female,Doctorate,Other,South America,Senior,42,Self-emp-not-inc,436258,Divorced,Other-service,8128,1186,Japan,<=50K,27
Female,Doctorate,White,North America,MiddleAged,35,Local-gov,154012,Separated,Craft-repair,3383,3245,Mexico,<=50K,39
Female,Doctorate,Black,Other,MiddleAged,25,State-gov,376070,Widowed,Tech-support,2464,1669,Mexico,<=50K,37
Female,Doctorate,Asian-Pac-Islander,Asia,MiddleAged,60,Private,56556,Widowed,Exec-managerial,5178,9276,Canada,<=50K,36
Female,Doctorate,Black,South America,YoungAdults,38,Local-gov,66422,Separated,Exec-managerial,6004,2360,India,<=50K,27
Female,Doctorate,Black,Other,Adults,37,Self-emp-not-inc,456283,Separated,Other-service,7376,5992,Japan,<=50K,39
Female,Doctorate,Asian-Pac-Islander,Asia,YoungAdults,49,Private,76821,Widowed,Other-service,5123,8059,United-States,<=50K,37
Female,Doctorate,White,Europe,YoungAdults,37,Local-gov,265303,Divorced,Craft-repair,4924,2580,India,<=50K,39
Female,Doctorate,Asian-Pac-Islander,Asia,Adults,30,Local-gov,480588,Separated,Other-service,24,5886,Japan,<=50K,38
Female,Doctorate,White,Other,Senior,45,Federal-gov,173325,Never-married,Craft-repair,3087,6023,United-States,<=50K,29
Female,Doctorate,Asian-Pac-Islander,Europe,YoungAdults,57,Private,261897,Married-civ-spouse,Sales,7178,4962,Mexico,<=50K,40
Female,Doctorate,Amer-Indian-Eskimo,North America,YoungAdults,44,Self-emp-not-inc,185621,Separated,Craft-repair,1582,3943,Mexico,<=50K,36
Female,Doctorate,Other,South America,Adults,31,Self-emp-not-inc,137780,Married-civ-spouse,Tech-support,7698,8828,Japan,<=50K,36
Female,Doctorate,Other,Other,MiddleAged,26,Local-gov,432414,Never-married,Exec-managerial,2489,1314,Japan,<=50K,31
Female,Doctorate,Asian-Pac-Islander,Other,Senior,37,Private,267252,Widowed,Craft-repair,8711,4458,United-States,<=50K,31
Female,Doctorate,Black,Other,Senior,54,Private,213803,Separated,Exec-managerial,3150,1945,Germany,<=50K,27
Female,Doctorate,Black,North America,YoungAdults,47,Federal-gov,233351,Separated,Other-service,175,5384,Japan,<=50K,40
Female,Doctorate,Black,Central America,Adults,39,Self-emp-not-inc,361010,Divorced,Exec-managerial,2008,7206,Mexico,<=50K,29
Female,Doctorate,Black,South America,YoungAdults,57,State-gov,274718,Divorced,Exec-managerial,3022,2338,United-States,<=50K,28
Female,Doctorate,Black,Europe,MiddleAged,51,Self-emp-not-inc,67147,Divorced,Other-service,9687,1120,Mexico,<=50K,30
Female,Doctorate,Black,South America,MiddleAged,44,Local-gov,124885,Separated,Sales,2676,6224,United-States,<=50K,26
Female,Doctorate,Amer-Indian-Eskimo,Asia,YoungAdults,37,Federal-gov,135824,Divorced,Sales,6220,5929,Mexico,<=50K,38
Female,Doctorate,Other,Other,YoungAdults,49,State-gov,47744,Divorced,Exec-managerial,5943,2806,United-States,<=50K,26
Female,Doctorate,Amer-Indian-Eskimo,South America,Adults,27,Federal-gov,272687,Married-civ-spouse,Tech-support,4119,812,United-States,<=50K,39
Female,Doctorate,White,Europe,Senior,44,Private,214806,Widowed,Exec-managerial,3223,3540,Mexico,<=50K,38
Female,Doctorate,Other,Europe,MiddleAged,20,State-gov,107339,Married-civ-spouse,Sales,8101,6040,Canada,<=50K,35
Female,Doctorate,Asian-Pac-Islander,Europe,Adults,47,Self-emp-not-inc,234332,Separated,Other-service,5521,6578,Germany,<=50K,37
Female,Doctorate,Other,North America,YoungAdults,46,State-gov,496065,Widowed,Exec-managerial,9987,7598,Germany,<=50K,35
Female,Doctorate,Other,Central America,MiddleAged,38,Self-emp-not-inc,59621,Widowed,Craft-repair,945,9782,India,<=50K,39
Female,Doctorate,Other,Asia,YoungAdults,22,State-gov,81549,Never-married,Other-service,1833,8444,Japan,<=50K,27
Female,Doctorate,White,Asia,Senior,58,State-gov,464752,Married-civ-spouse,Other-service,9006,2042,Germany,<=50K,27
Female,Doctorate,White,Central America,Adults,36,Self-emp-not-inc,310269,Divorced,Sales,3779,6556,Canada,<=50K,31
Female,Doctorate,White,South America,Adults,51,Federal-gov,27768,Never-married,Other-service,7349,6031,Germany,<=50K,35
Female,Doctorate,Amer-Indian-Eskimo,Asia,YoungAdults,28,Self-emp-not-inc,211663,Never-married,Tech-support,9823,6603,Germany,<=50K,31
Female,Doctorate,White,Europe,Senior,46,Federal-gov,191857,Widowed,Other-service,8349,2503,India,<=50K,32
Female,Doctorate,Black,Europe,Adults,51,Local-gov,71855,Divorced,Tech-support,4684,4229,Japan,<=50K,36
Female,Doctorate,Black,North America,Adults,44,State-gov,113408,Divorced,Exec-managerial,462,6044,Germany,<=50K,34
Female,Doctorate,Asian-Pac-Islander,North America,MiddleAged,55,Federal-gov,151314,Married-civ-spouse,Tech-support,891,6101,Japan,<=50K,30
Female,Doctorate,Asian-Pac-Islander,Europe,Senior,46,State-gov,91047,Separated,Tech-support,8959,8400,Japan,<=50K,35
Female,Doctorate,Black,North America,YoungAdults,35,Private,30460,Widowed,Exec-managerial,3172,9395,Mexico,<=50K,34
Female,Doctorate,Asian-Pac-Islander,North America,YoungAdults,24,State-gov,222422,Married-civ-spouse,Craft-repair,7934,8337,Germany,<=50K,27
Female,Doctorate,Black,Europe,Adults,49,Self-emp-not-inc,163556,Never-married,Other-service,7277,4530,United-States,<=50K,39
Female,Doctorate,Other,Other,Adults,60,Local-gov,162297,Never-married,Sales,5203,9467,India,<=50K,27
Female,Doctorate,Asian-Pac-Islander,Other,Senior,28,Self-emp-not-inc,442381,Separated,Other-service,3388,2380,Japan,<=50K,27
Female,Doctorate,Amer-Indian-Eskimo,Europe,Senior,53,Self-emp-not-inc,141724,Divorced,Craft-repair,2481,1181,Germany,<=50K,33
Female,Doctorate,Other,North America,MiddleAged,58,Federal-gov,331754,Separated,Craft-repair,8610,7037,Japan,<=50K,36
Female,Doctorate,Amer-Indian-Eskimo,Asia,Adults,42,Private,340726,Married-civ-spouse,Other-service,308,8809,Japan,<=50K,26
Female,Doctorate,Amer-Indian-Eskimo,Other,YoungAdults,39,Federal-gov,113601,Divorced,Sales,8954,5740,Japan,<=50K,36
Female,Doctorate,Amer-Indian-Eskimo,North America,YoungAdults,58,Self-emp-not-inc,162152,Never-married,Sales,1303,2684,Germany,<=50K,33
Female,Doctorate,Amer-Indian-Eskimo,Central America,Adults,38,State-gov,13420,Married-civ-spouse,Other-service,4534,31,Canada,<=50K,28
Female,Doctorate,Asian-Pac-Islander,South America,Senior,30,Self-emp-not-inc,190151,Divorced,Tech-support,302,6311,Canada,<=50K,34
Female,Doctorate,Other,Central America,Senior,46,State-gov,227340,Never-married,Exec-managerial,2583,4995,Germany,<=50K,38
Female,Doctorate,Amer-Indian-Eskimo,Asia,YoungAdults,54,Private,407500,Widowed,Exec-managerial,5805,4656,Japan,<=50K,28
