race,age,education,marital_status,work_class,occupation,hours_per_week,gender,native_country,fnlwgt,capital_gain,capital_loss,income,agegroup,continent
Amer-Indian-Eskimo,43,HS-grad,Never-married,Private,Prof-specialty,58,Female,Mexico,111406,8724,4708,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,67,HS-grad,Married-civ-spouse,Private,Machine-op-inspct,20,Female,United-States,129269,9274,7655,>50K,Senior,NorthAmerica
Amer-Indian-Eskimo,26,Doctorate,Married-civ-spouse,Private,Craft-repair,21,Male,Outlying-US(Guam-USVI-etc),154854,4776,3057,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,40,HS-grad,Married-civ-spouse,Self-emp-not-inc,Machine-op-inspct,26,Female,United-States,357593,5965,3136,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,57,HS-grad,Divorced,Private,Prof-specialty,23,Female,United-States,328678,5858,4257,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,38,HS-grad,Married-civ-spouse,Private,Craft-repair,48,Male,United-States,366966,8834,9049,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,26,HS-grad,Separated,Private,Other-service,22,Male,Canada,201212,5978,6326,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,61,11th,Never-married,Federal-gov,Craft-repair,29,Female,Outlying-US(Guam-USVI-etc),56020,6261,7433,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,63,HS-grad,Divorced,Without-pay,Other-service,25,Male,Outlying-US(Guam-USVI-etc),412801,2806,1772,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,56,Doctorate,Married-civ-spouse,Private,Tech-support,22,Male,Canada,235055,5881,4050,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,25,11th,Married-civ-spouse,Without-pay,Other-service,51,Female,Outlying-US(Guam-USVI-etc),322692,2590,5468,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,70,Bachelors,Married-civ-spouse,Local-gov,Sales,45,Male,United-States,258955,7446,2302,<=50K,Senior,NorthAmerica
Amer-Indian-Eskimo,33,HS-grad,Widowed,Private,Craft-repair,46,Female,Mexico,414627,3378,7770,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,42,HS-grad,Married-civ-spouse,Private,Exec-managerial,42,Female,Canada,32202,287,7791,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,21,Assoc-acdm,Married-civ-spouse,Private,Sales,21,Male,United-States,220991,7568,6815,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,51,Bachelors,Married-civ-spouse,Private,Tech-support,33,Male,Mexico,39884,9562,1067,>50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,58,Bachelors,Married-civ-spouse,Private,Tech-support,39,Male,Mexico,355981,3151,3849,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,26,HS-grad,Married-civ-spouse,Private,Other-service,40,Male,Canada,340550,718,5122,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,28,HS-grad,Divorced,Never-worked,Prof-specialty,43,Female,Mexico,53748,9639,8412,>50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,45,Bachelors,Married-civ-spouse,Private,Tech-support,39,Male,Mexico,378067,9865,2210,>50K,Adults,NorthAmerica
Amer-Indian-Eskimo,49,HS-grad,Never-married,Private,Machine-op-inspct,22,Male,Mexico,442969,4873,5343,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,39,HS-grad,Married-civ-spouse,Private,Tech-support,34,Female,United-States,390146,886,3115,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,27,Bachelors,Never-married,Private,Sales,28,Male,Canada,125844,5813,9722,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,49,11th,Never-married,Private,Handlers-cleaners,58,Female,Canada,457827,4247,9393,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,65,Some-college,Married-civ-spouse,Private,Sales,26,Female,United-States,124977,8109,280,<=50K,Senior,NorthAmerica
Amer-Indian-Eskimo,21,HS-grad,Married-civ-spouse,Private,Sales,41,Male,United-States,342622,4638,9463,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,70,Bachelors,Never-married,Private,Other-service,23,Male,Outlying-US(Guam-USVI-etc),219026,8639,9406,<=50K,Senior,NorthAmerica
Amer-Indian-Eskimo,50,11th,Divorced,Without-pay,Other-service,30,Male,Outlying-US(Guam-USVI-etc),76992,2846,2003,>50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,61,11th,Married-civ-spouse,Private,Machine-op-inspct,49,Female,Canada,457667,2061,4198,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,55,HS-grad,Never-married,Local-gov,Handlers-cleaners,30,Male,Mexico,37855,3359,5505,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,30,Some-college,Married-civ-spouse,Private,Prof-specialty,37,Female,Mexico,133771,7256,5095,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,45,Bachelors,Divorced,Local-gov,Handlers-cleaners,51,Female,Canada,458845,3265,8917,>50K,Adults,NorthAmerica
Amer-Indian-Eskimo,61,Some-college,Never-married,Federal-gov,Exec-managerial,53,Female,Mexico,253422,4909,4484,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,18,Some-college,Married-civ-spouse,Private,Craft-repair,38,Female,Outlying-US(Guam-USVI-etc),171586,33,2941,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,23,Some-college,Married-civ-spouse,Never-worked,Tech-support,51,Female,Canada,452272,1238,9787,>50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,22,11th,Separated,Private,Sales,30,Male,Outlying-US(Guam-USVI-etc),231231,1617,9065,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,53,Some-college,Married-civ-spouse,Self-emp-not-inc,Sales,26,Female,Canada,396680,2314,9655,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,37,11th,Never-married,Private,Other-service,59,Female,United-States,308402,1514,8466,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,65,11th,Married-civ-spouse,Federal-gov,Sales,27,Male,Canada,454073,7601,8704,<=50K,Senior,NorthAmerica
Amer-Indian-Eskimo,36,HS-grad,Married-civ-spouse,Private,Exec-managerial,36,Male,Outlying-US(Guam-USVI-etc),299281,8143,7551,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,61,HS-grad,Never-married,Private,Other-service,36,Female,United-States,100865,5122,1747,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,19,HS-grad,Never-married,Private,Machine-op-inspct,60,Female,Mexico,31179,9245,477,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,54,Bachelors,Married-civ-spouse,Local-gov,Prof-specialty,28,Male,Mexico,80713,2393,1746,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,26,HS-grad,Never-married,Self-emp-not-inc,Craft-repair,27,Male,United-States,432553,164,1676,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,43,11th,Married-civ-spouse,Private,Exec-managerial,60,Female,Mexico,17513,2817,3926,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,38,Doctorate,Married-civ-spouse,Private,Prof-specialty,49,Female,Canada,420703,2772,9676,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,53,11th,Never-married,Never-worked,Tech-support,59,Male,Canada,82546,394,9007,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,63,Bachelors,Married-civ-spouse,Self-emp-not-inc,Exec-managerial,56,Male,Mexico,259317,3159,9545,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,55,Some-college,Never-married,Never-worked,Craft-repair,39,Female,Outlying-US(Guam-USVI-etc),433000,1259,143,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,47,Assoc-voc,Separated,State-gov,Handlers-cleaners,45,Male,Outlying-US(Guam-USVI-etc),471895,5476,6920,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,32,Masters,Separated,Private,Prof-specialty,21,Male,Outlying-US(Guam-USVI-etc),270105,6071,1917,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,54,11th,Never-married,Private,Prof-specialty,28,Male,Mexico,348033,7320,2135,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,65,HS-grad,Married-civ-spouse,Private,Exec-managerial,57,Female,Mexico,178062,857,4420,<=50K,Senior,NorthAmerica
Amer-Indian-Eskimo,44,Some-college,Married-civ-spouse,Private,Tech-support,45,Female,Outlying-US(Guam-USVI-etc),93130,9059,126,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,50,Bachelors,Married-civ-spouse,Private,Exec-managerial,38,Female,Canada,288829,5268,3056,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,64,Assoc-voc,Married-civ-spouse,Private,Craft-repair,37,Male,Outlying-US(Guam-USVI-etc),127672,9878,2174,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,66,HS-grad,Never-married,Private,Exec-managerial,58,Female,Mexico,309725,2546,7318,<=50K,Senior,NorthAmerica
Amer-Indian-Eskimo,59,HS-grad,Separated,Private,Other-service,34,Male,United-States,58564,8727,4458,>50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,60,Some-college,Never-married,Local-gov,Other-service,55,Female,Outlying-US(Guam-USVI-etc),422600,5342,1501,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,38,HS-grad,Never-married,Private,Sales,20,Female,Mexico,398057,9227,6054,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,50,HS-grad,Married-civ-spouse,Private,Tech-support,39,Male,Canada,344041,4800,7243,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,44,Doctorate,Married-civ-spouse,Private,Handlers-cleaners,20,Female,Mexico,366392,8347,7135,>50K,Adults,NorthAmerica
Amer-Indian-Eskimo,50,11th,Married-civ-spouse,Private,Sales,29,Female,United-States,185019,6238,3592,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,50,Bachelors,Never-married,Without-pay,Exec-managerial,43,Female,Mexico,431844,1070,8908,>50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,23,Bachelors,Married-civ-spouse,Private,Prof-specialty,37,Male,Canada,341362,962,6647,>50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,34,Doctorate,Married-civ-spouse,Private,Handlers-cleaners,41,Female,Outlying-US(Guam-USVI-etc),376386,9417,4881,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,40,Bachelors,Married-civ-spouse,Private,Prof-specialty,53,Female,Mexico,195682,5152,9981,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,30,Some-college,Married-civ-spouse,Private,Handlers-cleaners,37,Female,Outlying-US(Guam-USVI-etc),277971,8405,9637,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,62,HS-grad,Never-married,Self-emp-not-inc,Other-service,33,Female,United-States,99734,2107,6151,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,62,HS-grad,Married-civ-spouse,Private,Exec-managerial,30,Female,Mexico,112514,608,3091,>50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,41,HS-grad,Married-civ-spouse,State-gov,Exec-managerial,26,Male,Canada,328203,8160,5731,>50K,Adults,NorthAmerica
Amer-Indian-Eskimo,70,HS-grad,Married-civ-spouse,Private,Other-service,54,Male,United-States,342085,7653,9275,<=50K,Senior,NorthAmerica
Amer-Indian-Eskimo,38,11th,Never-married,Private,Prof-specialty,58,Male,Outlying-US(Guam-USVI-etc),372206,5284,7597,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,19,HS-grad,Never-married,Private,Exec-managerial,48,Male,United-States,104053,3227,7400,>50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,47,HS-grad,Married-civ-spouse,Private,Other-service,23,Female,Canada,193771,7166,7362,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,59,HS-grad,Separated,Local-gov,Exec-managerial,39,Female,Canada,301183,7100,7739,>50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,68,Some-college,Divorced,Private,Handlers-cleaners,27,Male,Outlying-US(Guam-USVI-etc),124048,2388,6375,<=50K,Senior,NorthAmerica
Amer-Indian-Eskimo,45,Some-college,Never-married,Without-pay,Tech-support,50,Female,United-States,435601,9545,3933,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,58,HS-grad,Married-civ-spouse,Private,Handlers-cleaners,40,Male,Canada,204529,858,9327,>50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,37,HS-grad,Married-civ-spouse,Self-emp-not-inc,Other-service,24,Female,Canada,23392,1285,7858,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,41,HS-grad,Married-civ-spouse,Private,Craft-repair,56,Male,Mexico,403000,7287,293,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,67,HS-grad,Married-civ-spouse,Private,Sales,41,Female,Mexico,324852,1786,6005,<=50K,Senior,NorthAmerica
Amer-Indian-Eskimo,62,11th,Divorced,Private,Machine-op-inspct,52,Female,Outlying-US(Guam-USVI-etc),468195,9098,8871,>50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,30,HS-grad,Never-married,Self-emp-not-inc,Prof-specialty,22,Female,Canada,267664,9550,8654,>50K,Adults,NorthAmerica
Amer-Indian-Eskimo,32,HS-grad,Married-civ-spouse,Private,Handlers-cleaners,57,Female,Outlying-US(Guam-USVI-etc),19895,2726,5409,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,19,Some-college,Never-married,Private,Exec-managerial,56,Female,Canada,453059,7343,1040,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,39,11th,Married-civ-spouse,Private,Tech-support,52,Female,Mexico,384569,1669,6414,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,28,Bachelors,Divorced,Private,Handlers-cleaners,47,Female,United-States,412947,9925,1537,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,22,Assoc-acdm,Separated,Private,Other-service,40,Male,United-States,172401,1281,6326,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,27,Some-college,Married-civ-spouse,Private,Machine-op-inspct,59,Male,Outlying-US(Guam-USVI-etc),301138,5410,6156,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,36,Masters,Never-married,Self-emp-not-inc,Other-service,60,Female,Canada,354529,4516,7991,>50K,Adults,NorthAmerica
Amer-Indian-Eskimo,40,Some-college,Divorced,Private,Other-service,31,Female,Canada,139514,7667,9563,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,39,Some-college,Married-civ-spouse,Federal-gov,Other-service,31,Female,United-States,440242,927,512,>50K,Adults,NorthAmerica
Amer-Indian-Eskimo,67,HS-grad,Married-civ-spouse,Self-emp-not-inc,Prof-specialty,40,Female,Mexico,332618,1730,9746,>50K,Senior,NorthAmerica
Amer-Indian-Eskimo,60,Assoc-acdm,Never-married,Self-emp-not-inc,Exec-managerial,55,Male,Mexico,473557,5609,7869,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,63,Some-college,Divorced,State-gov,Handlers-cleaners,26,Male,Outlying-US(Guam-USVI-etc),50894,9684,4326,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,44,HS-grad,Married-civ-spouse,Without-pay,Craft-repair,26,Male,Canada,402432,4726,5657,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,51,HS-grad,Divorced,Private,Handlers-cleaners,49,Female,Canada,71827,4993,2545,>50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,46,Some-college,Never-married,State-gov,Prof-specialty,25,Female,United-States,361568,3386,3357,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,26,HS-grad,Divorced,Private,Sales,23,Female,Canada,68782,1889,1229,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,52,Doctorate,Married-civ-spouse,Self-emp-not-inc,Machine-op-inspct,25,Female,United-States,396025,4953,3020,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,56,Some-college,Married-civ-spouse,Private,Machine-op-inspct,54,Male,Canada,422916,6205,3721,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,58,HS-grad,Never-married,Never-worked,Sales,35,Male,Canada,354446,6890,22,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,59,Some-college,Married-civ-spouse,Federal-gov,Prof-specialty,58,Female,United-States,253391,3029,7524,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,47,HS-grad,Never-married,State-gov,Sales,32,Male,Outlying-US(Guam-USVI-etc),399000,594,5225,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,63,11th,Never-married,Private,Other-service,30,Female,Mexico,33889,8497,9543,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,59,Assoc-voc,Divorced,Private,Machine-op-inspct,41,Female,Canada,223782,685,1563,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,22,HS-grad,Never-married,Private,Machine-op-inspct,59,Male,Canada,59703,2106,3348,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,35,Bachelors,Divorced,Private,Sales,35,Female,Canada,430381,3232,6780,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,67,Bachelors,Divorced,Private,Craft-repair,29,Male,Canada,320514,649,8706,<=50K,Senior,NorthAmerica
Amer-Indian-Eskimo,34,Some-college,Never-married,Private,Craft-repair,35,Female,Mexico,359957,9713,8348,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,44,HS-grad,Married-civ-spouse,Local-gov,Craft-repair,36,Female,Mexico,232281,4962,2842,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,59,HS-grad,Never-married,Private,Prof-specialty,46,Female,Mexico,399354,8339,4033,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,39,11th,Never-married,Private,Exec-managerial,40,Male,Mexico,470647,6658,2892,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,41,Some-college,Widowed,Private,Prof-specialty,21,Female,Mexico,150707,6963,2805,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,70,Bachelors,Married-civ-spouse,Private,Prof-specialty,50,Female,United-States,430387,4221,6859,>50K,Senior,NorthAmerica
Amer-Indian-Eskimo,40,HS-grad,Married-civ-spouse,Local-gov,Exec-managerial,58,Male,United-States,45194,7857,4923,>50K,Adults,NorthAmerica
Amer-Indian-Eskimo,27,HS-grad,Never-married,Federal-gov,Tech-support,60,Male,Mexico,168091,2364,5461,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,64,Bachelors,Married-civ-spouse,Private,Handlers-cleaners,31,Male,Mexico,409180,5413,6710,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,24,Some-college,Never-married,State-gov,Other-service,26,Female,Outlying-US(Guam-USVI-etc),112731,6717,2759,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,21,HS-grad,Married-civ-spouse,Local-gov,Craft-repair,53,Male,United-States,435508,7180,6187,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,18,Bachelors,Never-married,Federal-gov,Tech-support,36,Male,Canada,16500,1413,26,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,38,HS-grad,Never-married,Private,Tech-support,26,Male,Canada,27376,9157,4423,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,63,HS-grad,Divorced,Private,Craft-repair,28,Male,Mexico,255539,6215,1557,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,38,Masters,Separated,Private,Prof-specialty,42,Female,United-States,218986,1693,6731,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,44,Bachelors,Separated,Private,Craft-repair,55,Female,United-States,212340,7405,8246,>50K,Adults,NorthAmerica
Amer-Indian-Eskimo,35,Some-college,Widowed,Private,Craft-repair,44,Female,Outlying-US(Guam-USVI-etc),389239,5888,3787,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,48,Bachelors,Never-married,Private,Tech-support,25,Male,Mexico,115557,1655,4915,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,44,Some-college,Married-civ-spouse,Private,Machine-op-inspct,55,Male,Canada,130331,2561,292,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,18,Some-college,Married-civ-spouse,Private,Exec-managerial,40,Female,Outlying-US(Guam-USVI-etc),418859,420,5902,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,65,11th,Separated,Private,Machine-op-inspct,31,Male,Outlying-US(Guam-USVI-etc),490228,2701,960,<=50K,Senior,NorthAmerica
Amer-Indian-Eskimo,51,Bachelors,Married-civ-spouse,Private,Sales,20,Male,Mexico,392779,9458,1778,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,24,Some-college,Never-married,Private,Sales,23,Female,Mexico,132998,5408,7512,>50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,20,Bachelors,Separated,Private,Craft-repair,36,Male,Canada,414244,4279,8695,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,66,Bachelors,Divorced,Without-pay,Other-service,55,Male,Mexico,396854,6555,1622,<=50K,Senior,NorthAmerica
Amer-Indian-Eskimo,49,HS-grad,Married-civ-spouse,Private,Tech-support,20,Male,Canada,38540,8178,6551,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,33,HS-grad,Never-married,Self-emp-not-inc,Craft-repair,21,Female,Canada,241124,8887,5685,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,36,11th,Married-civ-spouse,Private,Other-service,47,Female,Canada,206901,3362,4009,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,26,Some-college,Married-civ-spouse,Private,Exec-managerial,58,Female,Mexico,66749,9323,8317,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,44,HS-grad,Married-civ-spouse,Local-gov,Handlers-cleaners,31,Male,Canada,490601,6021,8082,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,37,Bachelors,Married-civ-spouse,Private,Other-service,39,Male,Mexico,289553,1309,8233,<=50K,Adults,NorthAmerica
