race,gender,age,education,marital_status,work_class,occupation,hours_per_week,native_country,fnlwgt,capital_gain,capital_loss,income,agegroup,continent
White,Male,29,HS-grad,Never-married,Private,Tech-support,35,India,45972,1622,8068,>50K,YoungAdults,Asia
White,Female,28,Bachelors,Married-civ-spouse,Private,Other-service,57,India,379942,6319,6818,<=50K,YoungAdults,Asia
Asian-Pac-Islander,Female,19,HS-grad,Married-civ-spouse,Private,Machine-op-inspct,55,Vietnam,378651,5917,1762,<=50K,YoungAdults,Asia
White,Female,25,11th,Never-married,Private,Prof-specialty,52,Vietnam,240898,7728,1115,<=50K,YoungAdults,Asia
White,Female,21,HS-grad,Married-civ-spouse,Private,Tech-support,32,Philippines,161013,7896,4395,<=50K,YoungAdults,Asia
White,Male,38,11th,Never-married,Without-pay,Tech-support,59,South,331868,3654,588,>50K,Adults,Asia
White,Female,35,Some-college,Never-married,Self-emp-not-inc,Exec-managerial,41,Philippines,26374,6753,8905,<=50K,Adults,Asia
White,Male,66,Some-college,Married-civ-spouse,Private,Handlers-cleaners,21,Japan,175044,364,8882,>50K,Senior,Asia
White,Male,34,Assoc-voc,Never-married,Private,Prof-specialty,31,Japan,323844,5903,1898,>50K,Adults,Asia
White,Female,62,Some-college,Divorced,Private,Handlers-cleaners,34,China,226708,3322,1891,<=50K,MiddleAged,Asia
White,Male,64,HS-grad,Never-married,Private,Sales,29,Japan,128414,7505,7084,>50K,MiddleAged,Asia
White,Male,20,Bachelors,Married-civ-spouse,Private,Prof-specialty,39,Philippines,50619,5264,5748,>50K,YoungAdults,Asia
White,Female,60,Assoc-voc,Widowed,Local-gov,Machine-op-inspct,38,China,483820,926,4024,<=50K,MiddleAged,Asia
Black,Male,20,HS-grad,Married-civ-spouse,Private,Prof-specialty,56,India,12283,2170,7710,>50K,YoungAdults,Asia
White,Female,24,Bachelors,Never-married,Self-emp-not-inc,Exec-managerial,42,India,337085,5222,2484,<=50K,YoungAdults,Asia
White,Male,62,HS-grad,Married-civ-spouse,Private,Exec-managerial,20,India,76926,5685,1480,>50K,MiddleAged,Asia
Amer-Indian-Eskimo,Female,56,Assoc-voc,Never-married,Private,Sales,39,South,78456,6361,8645,<=50K,MiddleAged,Asia
White,Female,39,HS-grad,Widowed,State-gov,Handlers-cleaners,44,Philippines,455040,1426,373,<=50K,Adults,Asia
White,Female,40,Some-college,Never-married,Private,Sales,57,China,261393,6662,8470,<=50K,Adults,Asia
Asian-Pac-Islander,Female,49,Bachelors,Married-civ-spouse,Private,Exec-managerial,37,China,211397,3020,7209,<=50K,Adults,Asia
White,Male,22,HS-grad,Married-civ-spouse,Private,Craft-repair,53,South,133137,5881,6390,>50K,YoungAdults,Asia
Amer-Indian-Eskimo,Male,58,HS-grad,Married-civ-spouse,Private,Other-service,36,China,187900,1814,7463,>50K,MiddleAged,Asia
White,Male,28,Bachelors,Married-civ-spouse,Private,Handlers-cleaners,48,Vietnam,131799,5008,8302,>50K,YoungAdults,Asia
Amer-Indian-Eskimo,Male,44,11th,Never-married,Private,Tech-support,59,Vietnam,241593,9809,3674,>50K,Adults,Asia
White,Female,19,Masters,Married-civ-spouse,Private,Other-service,22,Philippines,37982,5054,1532,<=50K,YoungAdults,Asia
Asian-Pac-Islander,Female,48,HS-grad,Never-married,Private,Exec-managerial,49,South,339653,4608,129,<=50K,Adults,Asia
White,Female,52,Some-college,Married-civ-spouse,Private,Sales,30,South,261144,1339,3362,<=50K,MiddleAged,Asia
Other,Male,31,HS-grad,Separated,Private,Prof-specialty,46,India,328795,9340,6573,>50K,Adults,Asia
White,Male,64,Masters,Married-civ-spouse,Local-gov,Other-service,26,South,369549,1058,9433,>50K,MiddleAged,Asia
White,Female,47,Assoc-voc,Married-civ-spouse,Private,Handlers-cleaners,44,South,132540,4771,1538,<=50K,Adults,Asia
Amer-Indian-Eskimo,Male,51,Some-college,Never-married,Self-emp-not-inc,Exec-managerial,39,China,441871,4637,8684,>50K,MiddleAged,Asia
White,Male,27,11th,Married-civ-spouse,Private,Sales,35,India,88064,2232,241,>50K,YoungAdults,Asia
White,Male,50,HS-grad,Never-married,Private,Prof-specialty,56,Philippines,38178,6230,5475,>50K,MiddleAged,Asia
White,Male,43,HS-grad,Married-civ-spouse,Private,Exec-managerial,49,China,294293,6203,8785,>50K,Adults,Asia
White,Male,23,Masters,Divorced,Private,Prof-specialty,54,China,371864,1084,4208,>50K,YoungAdults,Asia
Amer-Indian-Eskimo,Female,24,11th,Divorced,Private,Other-service,22,Japan,481272,9681,6997,<=50K,YoungAdults,Asia
White,Female,35,Assoc-voc,Married-civ-spouse,Private,Handlers-cleaners,44,India,283298,7018,8965,<=50K,Adults,Asia
Amer-Indian-Eskimo,Female,49,Masters,Never-married,Private,Other-service,51,South,192106,9239,7990,<=50K,Adults,Asia
White,Female,18,Bachelors,Never-married,Private,Handlers-cleaners,33,China,97704,8248,472,<=50K,YoungAdults,Asia
White,Male,46,HS-grad,Married-civ-spouse,Private,Handlers-cleaners,41,Japan,141579,3094,9675,>50K,Adults,Asia
White,Male,59,HS-grad,Divorced,Private,Handlers-cleaners,53,Vietnam,48499,3580,5636,>50K,MiddleAged,Asia
White,Female,53,HS-grad,Married-civ-spouse,Private,Exec-managerial,51,South,405881,9939,6017,<=50K,MiddleAged,Asia
White,Male,35,11th,Never-married,Private,Prof-specialty,46,South,219408,4618,8697,>50K,Adults,Asia
White,Female,47,Some-college,Never-married,Private,Exec-managerial,37,South,142481,1149,8654,<=50K,Adults,Asia
White,Female,65,Doctorate,Never-married,Private,Other-service,37,Vietnam,96412,5390,6730,<=50K,Senior,Asia
White,Male,48,Some-college,Never-married,State-gov,Machine-op-inspct,36,China,427134,9853,7546,>50K,Adults,Asia
White,Female,29,HS-grad,Married-civ-spouse,Private,Handlers-cleaners,28,India,341205,7620,1101,<=50K,YoungAdults,Asia
White,Female,52,Bachelors,Separated,Private,Prof-specialty,23,India,123611,4431,5001,<=50K,MiddleAged,Asia
White,Male,61,Bachelors,Never-married,Private,Tech-support,43,South,12341,3226,7231,>50K,MiddleAged,Asia
White,Female,62,Bachelors,Never-married,Self-emp-not-inc,Craft-repair,36,China,306148,7693,6067,<=50K,MiddleAged,Asia
Black,Male,30,Some-college,Never-married,Self-emp-not-inc,Sales,20,Vietnam,222653,7546,1832,>50K,Adults,Asia
Asian-Pac-Islander,Female,41,Some-college,Never-married,Never-worked,Sales,33,India,361092,1550,6229,<=50K,Adults,Asia
White,Male,64,HS-grad,Married-civ-spouse,Private,Other-service,31,South,95201,3934,5560,>50K,MiddleAged,Asia
White,Female,40,Some-college,Married-civ-spouse,Self-emp-not-inc,Tech-support,39,South,104250,9829,3307,<=50K,Adults,Asia
Black,Male,19,Some-college,Married-civ-spouse,Private,Machine-op-inspct,59,Japan,25178,5785,667,>50K,YoungAdults,Asia
Black,Female,57,HS-grad,Never-married,State-gov,Exec-managerial,25,Japan,313625,5966,3271,<=50K,MiddleAged,Asia
White,Male,22,Some-college,Never-married,Federal-gov,Prof-specialty,31,Vietnam,324181,92,5687,>50K,YoungAdults,Asia
White,Female,43,HS-grad,Married-civ-spouse,State-gov,Other-service,20,Japan,85469,3225,4377,<=50K,Adults,Asia
White,Male,60,11th,Married-civ-spouse,Private,Prof-specialty,45,China,67312,3915,9137,>50K,MiddleAged,Asia
White,Male,46,Assoc-acdm,Married-civ-spouse,Private,Other-service,48,Japan,432350,9897,1741,>50K,Adults,Asia
White,Female,67,Assoc-acdm,Never-married,Private,Sales,31,South,195529,628,3973,<=50K,Senior,Asia
White,Male,33,Some-college,Married-civ-spouse,Never-worked,Craft-repair,52,India,242995,6877,2600,>50K,Adults,Asia
White,Female,68,Assoc-voc,Widowed,State-gov,Exec-managerial,34,Philippines,58716,9934,9596,<=50K,Senior,Asia
White,Female,61,HS-grad,Married-civ-spouse,Private,Other-service,45,China,316913,7824,1668,<=50K,MiddleAged,Asia
White,Male,42,Some-college,Married-civ-spouse,Self-emp-not-inc,Machine-op-inspct,48,Vietnam,99436,1875,9422,>50K,Adults,Asia
White,Female,25,Assoc-acdm,Widowed,Private,Craft-repair,32,China,60908,1794,7569,<=50K,YoungAdults,Asia
White,Female,29,Assoc-acdm,Married-civ-spouse,Local-gov,Handlers-cleaners,27,Philippines,97087,8881,2069,<=50K,YoungAdults,Asia
White,Male,46,HS-grad,Married-civ-spouse,Private,Handlers-cleaners,50,India,179195,8326,9598,>50K,Adults,Asia
White,Female,48,Bachelors,Never-married,Private,Exec-managerial,31,Vietnam,79514,4899,6615,<=50K,Adults,Asia
White,Female,43,Assoc-voc,Never-married,Private,Other-service,20,South,411048,7992,3038,<=50K,Adults,Asia
White,Male,69,Some-college,Married-civ-spouse,Private,Prof-specialty,30,South,164577,6583,6230,>50K,Senior,Asia
White,Male,27,HS-grad,Widowed,Private,Handlers-cleaners,60,China,358302,6152,5285,>50K,YoungAdults,Asia
Asian-Pac-Islander,Male,37,HS-grad,Married-civ-spouse,State-gov,Prof-specialty,33,India,261850,5795,5895,>50K,Adults,Asia
Black,Male,66,HS-grad,Divorced,Private,Tech-support,34,China,120527,4283,7196,>50K,Senior,Asia
White,Female,51,HS-grad,Never-married,Private,Exec-managerial,33,Philippines,252172,4381,3049,<=50K,MiddleAged,Asia
White,Male,46,HS-grad,Married-civ-spouse,Private,Handlers-cleaners,38,China,472905,8169,2387,>50K,Adults,Asia
White,Female,33,Some-college,Married-civ-spouse,Self-emp-not-inc,Exec-managerial,23,Japan,395643,9020,5495,<=50K,Adults,Asia
White,Female,20,Masters,Divorced,Private,Prof-specialty,45,China,433865,8015,1524,<=50K,YoungAdults,Asia
Asian-Pac-Islander,Male,27,Bachelors,Separated,Self-emp-not-inc,Sales,56,India,258490,3996,8010,>50K,YoungAdults,Asia
White,Female,18,Bachelors,Never-married,Self-emp-not-inc,Machine-op-inspct,24,India,338005,1505,1203,<=50K,YoungAdults,Asia
White,Male,63,Some-college,Widowed,Private,Other-service,40,India,423458,8316,1587,>50K,MiddleAged,Asia
White,Male,36,Bachelors,Never-married,Private,Craft-repair,51,China,129222,9505,3121,>50K,Adults,Asia
White,Female,53,Bachelors,Never-married,Self-emp-not-inc,Exec-managerial,20,South,430629,3776,8235,<=50K,MiddleAged,Asia
White,Female,23,HS-grad,Never-married,Private,Sales,31,South,48414,1820,9860,<=50K,YoungAdults,Asia
White,Male,42,Doctorate,Married-civ-spouse,Self-emp-not-inc,Machine-op-inspct,26,India,438609,4368,4413,>50K,Adults,Asia
White,Female,24,11th,Widowed,Private,Tech-support,23,Philippines,48357,6413,3175,<=50K,YoungAdults,Asia
White,Male,63,Masters,Separated,Local-gov,Other-service,58,South,301433,5010,423,>50K,MiddleAged,Asia
White,Female,22,Some-college,Married-civ-spouse,Private,Handlers-cleaners,42,China,39111,2064,8813,<=50K,YoungAdults,Asia
Asian-Pac-Islander,Female,55,Some-college,Married-civ-spouse,Never-worked,Craft-repair,29,Japan,364420,7836,8741,<=50K,MiddleAged,Asia
White,Female,54,HS-grad,Never-married,Private,Machine-op-inspct,45,China,331140,9520,1983,<=50K,MiddleAged,Asia
White,Female,65,Some-college,Married-civ-spouse,Private,Prof-specialty,26,China,413723,5652,3014,<=50K,Senior,Asia
White,Male,60,Some-college,Married-civ-spouse,Private,Exec-managerial,35,India,444138,4967,4946,>50K,MiddleAged,Asia
Amer-Indian-Eskimo,Female,67,Some-college,Married-civ-spouse,Private,Exec-managerial,59,Vietnam,433205,7295,8493,<=50K,Senior,Asia
White,Male,56,HS-grad,Never-married,Local-gov,Sales,20,Philippines,179755,9511,1407,>50K,MiddleAged,Asia
White,Female,53,Some-college,Married-civ-spouse,Federal-gov,Prof-specialty,30,China,268428,6458,9565,<=50K,MiddleAged,Asia
White,Female,51,Masters,Never-married,Private,Tech-support,47,Vietnam,319735,5505,9233,<=50K,MiddleAged,Asia
White,Male,28,HS-grad,Divorced,Never-worked,Handlers-cleaners,27,South,58824,3105,3020,>50K,YoungAdults,Asia
White,Female,19,Bachelors,Married-civ-spouse,Private,Prof-specialty,35,India,217893,3934,4113,<=50K,YoungAdults,Asia
White,Female,20,Assoc-voc,Divorced,Private,Exec-managerial,21,China,494690,2329,4900,<=50K,YoungAdults,Asia
Other,Female,22,HS-grad,Married-civ-spouse,Never-worked,Tech-support,48,China,55747,4803,8162,<=50K,YoungAdults,Asia
White,Male,61,Masters,Never-married,Private,Sales,55,Philippines,228246,912,889,>50K,MiddleAged,Asia
White,Male,60,HS-grad,Married-civ-spouse,Private,Tech-support,60,India,455982,9841,6597,>50K,MiddleAged,Asia
White,Female,20,Bachelors,Married-civ-spouse,Private,Exec-managerial,28,Vietnam,463509,1887,6465,<=50K,YoungAdults,Asia
White,Female,65,Bachelors,Married-civ-spouse,Private,Craft-repair,53,India,282957,7222,466,<=50K,Senior,Asia
White,Female,28,Masters,Married-civ-spouse,Private,Other-service,49,Philippines,385016,5315,9015,<=50K,YoungAdults,Asia
Amer-Indian-Eskimo,Female,53,HS-grad,Married-civ-spouse,Private,Other-service,49,South,462448,8806,6982,<=50K,MiddleAged,Asia
White,Male,51,Bachelors,Married-civ-spouse,Private,Exec-managerial,36,China,408755,4488,8296,>50K,MiddleAged,Asia
White,Female,70,Masters,Married-civ-spouse,Private,Sales,29,South,124557,3760,8365,<=50K,Senior,Asia
Black,Male,63,HS-grad,Married-civ-spouse,Private,Other-service,51,South,56413,7690,2895,>50K,MiddleAged,Asia
White,Female,65,HS-grad,Married-civ-spouse,Private,Tech-support,30,China,491024,2797,5817,<=50K,Senior,Asia
White,Male,24,11th,Never-married,Private,Craft-repair,60,Vietnam,355149,1805,2990,>50K,YoungAdults,Asia
White,Male,44,HS-grad,Married-civ-spouse,Private,Exec-managerial,21,Vietnam,90910,1074,6493,>50K,Adults,Asia
White,Female,42,Bachelors,Never-married,Private,Sales,28,China,43683,5563,9464,<=50K,Adults,Asia
Asian-Pac-Islander,Male,63,Bachelors,Married-civ-spouse,Self-emp-not-inc,Handlers-cleaners,29,Philippines,133980,8245,1290,>50K,MiddleAged,Asia
White,Male,39,HS-grad,Married-civ-spouse,Private,Sales,39,Japan,196273,1148,9075,>50K,Adults,Asia
White,Male,48,11th,Married-civ-spouse,Private,Handlers-cleaners,39,Philippines,255423,5096,5884,>50K,Adults,Asia
White,Male,58,11th,Never-married,Self-emp-not-inc,Exec-managerial,46,Japan,473749,3018,3130,>50K,MiddleAged,Asia
White,Female,27,11th,Married-civ-spouse,Federal-gov,Craft-repair,25,Philippines,246911,1870,5379,<=50K,YoungAdults,Asia
Asian-Pac-Islander,Female,48,Assoc-voc,Never-married,Private,Machine-op-inspct,25,India,39921,4194,3108,<=50K,Adults,Asia
