race,gender,age,education,marital_status,work_class,occupation,hours_per_week,native_country,fnlwgt,capital_gain,capital_loss,income,agegroup,continent
Other,Female,42,Some-college,Married-civ-spouse,Federal-gov,Handlers-cleaners,21,South,148113,1913,9657,<=50K,Adults,Asia
Other,Female,63,Bachelors,Widowed,Federal-gov,Other-service,23,Philippines,380968,7100,8648,<=50K,MiddleAged,Asia
Other,Female,50,Bachelors,Married-civ-spouse,Private,Other-service,45,South,38854,1356,1576,<=50K,MiddleAged,Asia
Other,Female,60,Masters,Separated,Private,Sales,55,India,408802,3474,8825,<=50K,MiddleAged,Asia
Other,Female,31,Masters,Never-married,Federal-gov,Craft-repair,41,Philippines,468410,3631,5749,<=50K,Adults,Asia
Other,Female,35,HS-grad,Married-civ-spouse,Private,Prof-specialty,50,China,458410,9175,4091,<=50K,Adults,Asia
Other,Female,25,Bachelors,Married-civ-spouse,Private,Sales,34,India,85420,9994,5358,<=50K,YoungAdults,Asia
Other,Female,39,Some-college,Separated,Self-emp-not-inc,Sales,42,South,71276,8979,9285,<=50K,Adults,Asia
Other,Female,29,Assoc-acdm,Married-civ-spouse,Self-emp-not-inc,Craft-repair,33,Philippines,422765,784,3072,<=50K,YoungAdults,Asia
Other,Female,27,Bachelors,Never-married,Federal-gov,Handlers-cleaners,43,Vietnam,298320,8518,7354,<=50K,YoungAdults,Asia
Other,Female,22,Some-college,Never-married,Never-worked,Sales,54,India,155249,6598,3036,<=50K,YoungAdults,Asia
Other,Female,42,HS-grad,Married-civ-spouse,Private,Prof-specialty,29,Japan,433511,5406,6970,<=50K,Adults,Asia
Other,Female,69,Some-college,Married-civ-spouse,Private,Other-service,51,India,305221,8149,8301,<=50K,Senior,Asia
Other,Female,45,Masters,Never-married,Private,Machine-op-inspct,54,China,204881,6505,263,<=50K,Adults,Asia
Other,Female,48,Some-college,Never-married,Private,Other-service,60,India,314281,8181,2932,<=50K,Adults,Asia
Other,Female,56,Assoc-acdm,Married-civ-spouse,Private,Exec-managerial,38,India,296962,5132,628,<=50K,MiddleAged,Asia
Other,Female,37,Doctorate,Never-married,Private,Prof-specialty,26,South,205822,2029,4558,<=50K,Adults,Asia
Other,Female,48,HS-grad,Married-civ-spouse,Private,Sales,34,South,214601,8075,9179,<=50K,Adults,Asia
Other,Female,47,Some-college,Separated,Never-worked,Other-service,43,Vietnam,342033,3774,890,<=50K,Adults,Asia
Other,Female,33,Bachelors,Married-civ-spouse,Private,Prof-specialty,60,South,486060,7294,9182,<=50K,Adults,Asia
Other,Female,45,HS-grad,Married-civ-spouse,State-gov,Sales,55,India,181310,5022,1679,<=50K,Adults,Asia
Other,Female,19,HS-grad,Divorced,Private,Prof-specialty,53,India,471432,3690,6132,<=50K,YoungAdults,Asia
Other,Female,33,Bachelors,Married-civ-spouse,Self-emp-not-inc,Handlers-cleaners,51,South,104402,4724,3585,<=50K,Adults,Asia
Other,Female,38,Some-college,Never-married,Private,Tech-support,58,Vietnam,239234,2907,6684,<=50K,Adults,Asia
Other,Female,50,Some-college,Divorced,Federal-gov,Other-service,25,Vietnam,400398,3291,5838,<=50K,MiddleAged,Asia
Other,Female,48,11th,Never-married,Private,Prof-specialty,52,Vietnam,266995,6724,535,<=50K,Adults,Asia
Other,Female,37,11th,Married-civ-spouse,Private,Tech-support,26,Philippines,154734,4195,2695,<=50K,Adults,Asia
Other,Female,56,HS-grad,Married-civ-spouse,Without-pay,Craft-repair,34,Japan,475291,4636,7679,<=50K,MiddleAged,Asia
Other,Female,68,Assoc-acdm,Never-married,Private,Sales,28,Japan,494279,6745,6738,<=50K,Senior,Asia
Other,Female,55,Bachelors,Widowed,Never-worked,Sales,31,Philippines,172554,8311,4732,<=50K,MiddleAged,Asia
Other,Female,21,Some-college,Married-civ-spouse,Private,Handlers-cleaners,30,Philippines,498651,1727,5733,<=50K,YoungAdults,Asia
Other,Female,29,Some-college,Married-civ-spouse,Private,Machine-op-inspct,42,India,410106,183,2155,<=50K,YoungAdults,Asia
Other,Female,33,11th,Never-married,Private,Other-service,45,Philippines,227489,3452,2395,<=50K,Adults,Asia
Other,Female,29,Assoc-acdm,Married-civ-spouse,Private,Machine-op-inspct,53,India,143660,4800,5570,<=50K,YoungAdults,Asia
Other,Female,48,Assoc-acdm,Never-married,State-gov,Craft-repair,42,Philippines,191748,8821,4627,<=50K,Adults,Asia
Other,Female,66,HS-grad,Separated,Private,Prof-specialty,43,China,306363,2971,2379,<=50K,Senior,Asia
Other,Female,62,HS-grad,Never-married,Self-emp-not-inc,Craft-repair,50,South,421604,391,1604,<=50K,MiddleAged,Asia
Other,Female,32,Some-college,Divorced,State-gov,Sales,34,India,217527,3884,9367,<=50K,Adults,Asia
Other,Female,67,Bachelors,Widowed,Private,Sales,57,South,334952,7759,4559,<=50K,Senior,Asia
Other,Female,51,Some-college,Never-married,Private,Sales,20,South,20486,2471,2825,<=50K,MiddleAged,Asia
Other,Female,53,HS-grad,Married-civ-spouse,Without-pay,Sales,30,Japan,95396,2666,3633,<=50K,MiddleAged,Asia
Other,Female,56,Bachelors,Married-civ-spouse,Private,Sales,31,Japan,327072,5026,7388,<=50K,MiddleAged,Asia
Other,Female,53,Bachelors,Never-married,Private,Other-service,32,South,331100,2936,6996,<=50K,MiddleAged,Asia
Other,Female,36,Some-college,Married-civ-spouse,Private,Machine-op-inspct,22,South,384198,6328,1508,<=50K,Adults,Asia
Other,Female,45,Bachelors,Never-married,Private,Sales,48,India,398238,5556,3065,<=50K,Adults,Asia
Other,Female,44,Masters,Widowed,Private,Handlers-cleaners,22,India,219191,5599,5536,<=50K,Adults,Asia
Other,Female,26,HS-grad,Never-married,Private,Sales,30,Philippines,200895,4447,1700,<=50K,YoungAdults,Asia
Other,Female,21,11th,Separated,Without-pay,Craft-repair,20,India,322180,6996,7923,<=50K,YoungAdults,Asia
Other,Female,22,Some-college,Married-civ-spouse,Private,Craft-repair,43,India,441196,4908,3834,<=50K,YoungAdults,Asia
Other,Female,36,11th,Married-civ-spouse,Private,Craft-repair,59,India,214179,9365,1066,<=50K,Adults,Asia
Other,Female,37,Some-college,Never-married,Private,Sales,34,Philippines,184465,2983,9012,<=50K,Adults,Asia
Other,Female,41,HS-grad,Married-civ-spouse,Private,Craft-repair,20,China,325113,5879,5933,<=50K,Adults,Asia
Other,Female,20,HS-grad,Married-civ-spouse,Never-worked,Sales,46,Japan,120728,4902,5111,<=50K,YoungAdults,Asia
Other,Female,45,Bachelors,Widowed,Private,Prof-specialty,27,Japan,142232,8772,2566,<=50K,Adults,Asia
Other,Female,52,Assoc-voc,Married-civ-spouse,Federal-gov,Exec-managerial,28,India,121762,6896,8625,<=50K,MiddleAged,Asia
Other,Female,18,Some-college,Married-civ-spouse,Private,Other-service,25,Philippines,422812,9341,3482,<=50K,YoungAdults,Asia
Other,Female,65,11th,Married-civ-spouse,Local-gov,Craft-repair,35,Japan,232767,5598,2455,<=50K,Senior,Asia
Other,Female,57,Some-college,Married-civ-spouse,Private,Machine-op-inspct,44,South,23822,3179,2219,<=50K,MiddleAged,Asia
Other,Female,21,Bachelors,Married-civ-spouse,Local-gov,Other-service,48,Japan,430763,2578,3065,<=50K,YoungAdults,Asia
Other,Female,31,Assoc-acdm,Never-married,Private,Prof-specialty,44,India,79207,9496,2124,<=50K,Adults,Asia
Other,Female,47,HS-grad,Separated,Private,Machine-op-inspct,35,China,300822,1926,3883,<=50K,Adults,Asia
Other,Female,32,HS-grad,Separated,Private,Exec-managerial,54,India,428768,223,1371,<=50K,Adults,Asia
Other,Female,25,Assoc-acdm,Married-civ-spouse,Private,Tech-support,56,Japan,330027,258,7214,<=50K,YoungAdults,Asia
Other,Female,57,HS-grad,Never-married,Private,Prof-specialty,22,Japan,194794,5651,4101,<=50K,MiddleAged,Asia
Other,Female,27,HS-grad,Married-civ-spouse,Private,Prof-specialty,38,Philippines,447834,9307,1367,<=50K,YoungAdults,Asia
Other,Female,32,Some-college,Divorced,Private,Sales,25,Vietnam,334817,3184,5798,<=50K,Adults,Asia
Other,Female,59,Bachelors,Never-married,Private,Handlers-cleaners,26,South,437299,4795,42,<=50K,MiddleAged,Asia
Other,Female,27,Bachelors,Divorced,Private,Exec-managerial,25,India,447115,1657,8212,<=50K,YoungAdults,Asia
Other,Female,32,Some-college,Never-married,Private,Other-service,29,China,56031,2751,6997,<=50K,Adults,Asia
Other,Female,24,HS-grad,Never-married,Private,Machine-op-inspct,37,India,227054,9815,8026,<=50K,YoungAdults,Asia
Other,Female,30,Assoc-acdm,Married-civ-spouse,Private,Craft-repair,36,South,337933,794,7446,<=50K,Adults,Asia
Other,Female,48,Masters,Married-civ-spouse,Private,Tech-support,47,South,277247,149,1710,<=50K,Adults,Asia
Other,Female,47,Assoc-voc,Widowed,Private,Handlers-cleaners,53,China,485630,4044,5005,<=50K,Adults,Asia
Other,Female,65,Some-college,Married-civ-spouse,Self-emp-not-inc,Sales,27,China,381715,1702,2116,<=50K,Senior,Asia
Other,Female,19,Some-college,Never-married,Local-gov,Prof-specialty,51,Philippines,334215,5641,4216,<=50K,YoungAdults,Asia
Other,Female,54,Assoc-acdm,Never-married,Local-gov,Machine-op-inspct,34,India,256725,8947,2489,<=50K,MiddleAged,Asia
Other,Female,24,Some-college,Married-civ-spouse,State-gov,Other-service,35,China,223964,1824,877,<=50K,YoungAdults,Asia
Other,Female,47,Some-college,Married-civ-spouse,Never-worked,Handlers-cleaners,35,Vietnam,16473,5451,7035,<=50K,Adults,Asia
Other,Female,47,Assoc-voc,Never-married,Private,Tech-support,36,South,458063,6014,7346,<=50K,Adults,Asia
Other,Female,24,Bachelors,Married-civ-spouse,Private,Other-service,26,South,129841,9628,4017,<=50K,YoungAdults,Asia
Other,Female,55,Doctorate,Married-civ-spouse,Private,Prof-specialty,48,India,377410,5788,7315,<=50K,MiddleAged,Asia
Other,Female,46,Bachelors,Divorced,Private,Exec-managerial,48,South,382882,7748,7179,<=50K,Adults,Asia
Other,Female,24,Bachelors,Married-civ-spouse,Private,Prof-specialty,38,Japan,42037,5797,1989,<=50K,YoungAdults,Asia
Other,Female,51,Some-college,Married-civ-spouse,Never-worked,Other-service,29,China,151661,9021,3064,<=50K,MiddleAged,Asia
Other,Female,62,HS-grad,Married-civ-spouse,Private,Prof-specialty,54,China,331713,237,7474,<=50K,MiddleAged,Asia
Other,Female,57,Some-college,Divorced,Private,Sales,31,Philippines,261728,7486,409,<=50K,MiddleAged,Asia
Other,Female,44,Assoc-voc,Never-married,Private,Craft-repair,29,India,229849,8992,8208,<=50K,Adults,Asia
Other,Female,35,Bachelors,Never-married,Private,Tech-support,27,Japan,370157,7718,2644,<=50K,Adults,Asia
Other,Female,33,Masters,Never-married,Self-emp-not-inc,Tech-support,45,China,395741,3774,0,<=50K,Adults,Asia
Other,Female,24,Some-college,Divorced,Self-emp-not-inc,Prof-specialty,25,Philippines,321397,4256,9008,<=50K,YoungAdults,Asia
Other,Female,69,HS-grad,Married-civ-spouse,Private,Exec-managerial,58,Vietnam,336073,793,4013,<=50K,Senior,Asia
Other,Female,69,HS-grad,Separated,Federal-gov,Sales,27,Japan,221808,8730,5128,<=50K,Senior,Asia
Other,Female,47,HS-grad,Divorced,State-gov,Prof-specialty,58,Philippines,365115,3191,5587,<=50K,Adults,Asia
Other,Female,32,Assoc-voc,Married-civ-spouse,State-gov,Handlers-cleaners,26,Japan,445314,1661,7264,<=50K,Adults,Asia
Other,Female,59,Some-college,Married-civ-spouse,Private,Handlers-cleaners,47,Japan,360933,2703,3177,<=50K,MiddleAged,Asia
Other,Female,28,HS-grad,Never-married,Private,Sales,53,Japan,19421,6010,2315,<=50K,YoungAdults,Asia
Other,Female,65,HS-grad,Divorced,Private,Other-service,47,Philippines,118366,9910,1438,<=50K,Senior,Asia
Other,Female,54,Some-college,Never-married,State-gov,Tech-support,60,South,92475,7820,335,<=50K,MiddleAged,Asia
Other,Female,30,Assoc-voc,Divorced,Self-emp-not-inc,Exec-managerial,34,Philippines,468965,5309,8351,<=50K,Adults,Asia
Other,Female,31,HS-grad,Never-married,Private,Exec-managerial,50,Japan,228569,355,6059,<=50K,Adults,Asia
Other,Female,28,HS-grad,Divorced,Private,Other-service,50,Philippines,236538,1359,8629,<=50K,YoungAdults,Asia
Other,Female,49,Masters,Never-married,Never-worked,Handlers-cleaners,54,Japan,361358,1110,1811,<=50K,Adults,Asia
Other,Female,45,HS-grad,Widowed,Self-emp-not-inc,Sales,31,Vietnam,388484,5393,4733,<=50K,Adults,Asia
Other,Female,32,11th,Married-civ-spouse,Private,Prof-specialty,30,South,294720,2662,1492,<=50K,Adults,Asia
Other,Female,66,HS-grad,Married-civ-spouse,Federal-gov,Machine-op-inspct,51,Philippines,294031,8109,3856,<=50K,Senior,Asia
Other,Female,52,11th,Married-civ-spouse,Private,Tech-support,58,India,219080,7986,1029,<=50K,MiddleAged,Asia
Other,Female,26,Doctorate,Married-civ-spouse,Private,Other-service,59,Vietnam,65211,9866,7910,<=50K,YoungAdults,Asia
Other,Female,49,Bachelors,Married-civ-spouse,Without-pay,Handlers-cleaners,23,India,245719,2542,5068,<=50K,Adults,Asia
Other,Female,37,HS-grad,Married-civ-spouse,Self-emp-not-inc,Craft-repair,59,China,410289,5694,1121,<=50K,Adults,Asia
Other,Female,24,Assoc-voc,Never-married,Self-emp-not-inc,Machine-op-inspct,20,Philippines,226520,7977,5458,<=50K,YoungAdults,Asia
Other,Female,68,HS-grad,Married-civ-spouse,Private,Other-service,31,India,397291,7411,8910,<=50K,Senior,Asia
Other,Female,35,Bachelors,Divorced,Private,Tech-support,57,China,322559,5695,5472,<=50K,Adults,Asia
Other,Female,54,HS-grad,Divorced,Private,Exec-managerial,22,India,331841,4695,194,<=50K,MiddleAged,Asia
Other,Female,50,Some-college,Married-civ-spouse,Self-emp-not-inc,Sales,31,South,378888,5763,7481,<=50K,MiddleAged,Asia
Other,Female,45,Some-college,Divorced,Private,Sales,54,Philippines,196239,7907,5445,<=50K,Adults,Asia
Other,Female,19,Bachelors,Married-civ-spouse,Private,Exec-managerial,36,Philippines,331607,6129,5154,<=50K,YoungAdults,Asia
Other,Female,50,HS-grad,Divorced,Private,Handlers-cleaners,33,China,59957,2670,917,<=50K,MiddleAged,Asia
Other,Female,29,Doctorate,Never-married,Private,Handlers-cleaners,29,Philippines,416508,5595,988,<=50K,YoungAdults,Asia
Other,Female,30,Some-college,Never-married,Private,Sales,22,South,321544,5420,1578,<=50K,Adults,Asia
Other,Female,55,Doctorate,Never-married,Local-gov,Sales,38,Vietnam,89849,5958,515,<=50K,MiddleAged,Asia
Other,Female,57,Assoc-voc,Widowed,Private,Handlers-cleaners,57,India,214594,2097,218,<=50K,MiddleAged,Asia
Other,Female,43,HS-grad,Never-married,Private,Exec-managerial,42,Philippines,391031,387,9893,<=50K,Adults,Asia
Other,Female,39,Doctorate,Married-civ-spouse,Private,Exec-managerial,45,India,287483,5057,5899,<=50K,Adults,Asia
Other,Female,18,Assoc-acdm,Never-married,Private,Handlers-cleaners,41,China,399111,9945,9269,<=50K,YoungAdults,Asia
Other,Female,38,Some-college,Married-civ-spouse,Private,Prof-specialty,59,Japan,327865,9715,9675,<=50K,Adults,Asia
Other,Female,56,Some-college,Married-civ-spouse,Private,Machine-op-inspct,44,Philippines,272007,6063,3415,<=50K,MiddleAged,Asia
Other,Female,63,Some-college,Widowed,Private,Prof-specialty,34,Vietnam,149028,4020,9674,<=50K,MiddleAged,Asia
Other,Female,53,Bachelors,Never-married,Private,Prof-specialty,26,China,398679,8665,8481,<=50K,MiddleAged,Asia
Other,Female,31,Some-college,Widowed,Private,Machine-op-inspct,32,Japan,318512,5269,9493,<=50K,Adults,Asia
Other,Female,68,Some-college,Never-married,Private,Prof-specialty,30,China,458851,3400,1147,<=50K,Senior,Asia
Other,Female,28,11th,Never-married,Private,Prof-specialty,28,Philippines,38186,1098,6353,<=50K,YoungAdults,Asia
Other,Female,40,HS-grad,Never-married,Private,Sales,30,China,440766,1510,9698,<=50K,Adults,Asia
Other,Female,23,Bachelors,Never-married,Private,Prof-specialty,52,South,297773,4816,1440,<=50K,YoungAdults,Asia
Other,Female,41,11th,Never-married,Private,Tech-support,27,South,13765,9860,1869,<=50K,Adults,Asia
Other,Female,44,Some-college,Never-married,Never-worked,Craft-repair,21,Japan,136671,683,3308,<=50K,Adults,Asia
Other,Female,52,Assoc-acdm,Married-civ-spouse,Private,Handlers-cleaners,58,Philippines,85634,9606,3546,<=50K,MiddleAged,Asia
Other,Female,46,Some-college,Married-civ-spouse,Private,Exec-managerial,57,Philippines,131253,4926,5633,<=50K,Adults,Asia
Other,Female,56,Masters,Widowed,Local-gov,Tech-support,25,Vietnam,240368,5586,6970,<=50K,MiddleAged,Asia
Other,Female,38,Some-college,Never-married,Private,Tech-support,21,China,276286,4657,2518,<=50K,Adults,Asia
Other,Female,40,HS-grad,Married-civ-spouse,Private,Tech-support,20,China,346185,5223,4837,<=50K,Adults,Asia
Other,Female,41,Masters,Married-civ-spouse,Local-gov,Sales,34,India,162659,6712,761,<=50K,Adults,Asia
Other,Female,23,HS-grad,Never-married,Private,Handlers-cleaners,34,India,103416,4417,6072,<=50K,YoungAdults,Asia
Other,Female,64,Some-college,Married-civ-spouse,Private,Tech-support,55,China,480281,3312,5394,<=50K,MiddleAged,Asia
Other,Female,68,11th,Never-married,Private,Exec-managerial,60,Vietnam,362429,1665,3973,<=50K,Senior,Asia
Other,Female,67,HS-grad,Never-married,Self-emp-not-inc,Exec-managerial,48,Japan,450102,2740,4486,<=50K,Senior,Asia
Other,Female,49,Some-college,Married-civ-spouse,Private,Exec-managerial,22,South,272840,2810,4611,<=50K,Adults,Asia
Other,Female,36,Assoc-voc,Married-civ-spouse,Private,Other-service,55,Philippines,101810,4431,3068,<=50K,Adults,Asia
Other,Female,67,HS-grad,Married-civ-spouse,Private,Sales,45,Japan,325938,1182,782,<=50K,Senior,Asia
Other,Female,69,Masters,Never-married,Private,Exec-managerial,21,Japan,218863,1893,2829,<=50K,Senior,Asia
Other,Female,28,Bachelors,Married-civ-spouse,Private,Machine-op-inspct,35,India,124182,4136,2151,<=50K,YoungAdults,Asia
Other,Female,51,Bachelors,Never-married,Self-emp-not-inc,Tech-support,37,India,151736,8925,9229,<=50K,MiddleAged,Asia
Other,Female,47,Some-college,Married-civ-spouse,Private,Handlers-cleaners,24,South,253388,577,9529,<=50K,Adults,Asia
Other,Female,45,Bachelors,Married-civ-spouse,Private,Exec-managerial,57,Japan,103461,1906,4638,<=50K,Adults,Asia
Other,Female,39,Some-college,Married-civ-spouse,Private,Handlers-cleaners,59,South,32571,3199,935,<=50K,Adults,Asia
Other,Female,70,HS-grad,Widowed,Private,Machine-op-inspct,34,Philippines,495824,77,1634,<=50K,Senior,Asia
Other,Female,38,Some-college,Never-married,Never-worked,Handlers-cleaners,30,Japan,66960,9910,1003,<=50K,Adults,Asia
Other,Female,23,Some-college,Widowed,State-gov,Craft-repair,53,South,456873,2028,4829,<=50K,YoungAdults,Asia
Other,Female,48,HS-grad,Never-married,Private,Craft-repair,42,India,281552,7707,4170,<=50K,Adults,Asia
Other,Female,40,HS-grad,Married-civ-spouse,Private,Other-service,35,Japan,407694,310,9978,<=50K,Adults,Asia
Other,Female,32,Bachelors,Married-civ-spouse,Private,Machine-op-inspct,46,Philippines,34056,822,2339,<=50K,Adults,Asia
Other,Female,39,Bachelors,Married-civ-spouse,Private,Tech-support,20,Japan,369551,9292,1722,<=50K,Adults,Asia
Other,Female,19,11th,Never-married,Private,Craft-repair,27,Vietnam,105976,5969,9117,<=50K,YoungAdults,Asia
Other,Female,41,Some-college,Divorced,Private,Machine-op-inspct,49,Vietnam,410789,4930,1682,<=50K,Adults,Asia
Other,Female,26,Some-college,Married-civ-spouse,Private,Other-service,52,China,343092,7243,287,<=50K,YoungAdults,Asia
Other,Female,50,HS-grad,Never-married,Private,Exec-managerial,60,India,149361,1437,4182,<=50K,MiddleAged,Asia
Other,Female,50,HS-grad,Married-civ-spouse,Private,Sales,53,South,373261,7965,5023,<=50K,MiddleAged,Asia
Other,Female,50,Bachelors,Never-married,Private,Other-service,37,China,424248,2207,9958,<=50K,MiddleAged,Asia
Other,Female,50,HS-grad,Never-married,Private,Other-service,21,China,119531,5972,3547,<=50K,MiddleAged,Asia
